Time(s),Raw_Voltage,Smoothed_Envelope
1.080036163330078125e-04,0.000000000000000000e+00,0.000000000000000000e+00
5.001616477966308594e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.101090908050537109e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.121659278869628906e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.329700946807861328e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.501278877258300781e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.769149303436279297e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.940691471099853516e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.170131206512451172e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.337801456451416016e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.550950050354003906e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.714040279388427734e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.946681976318359375e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.121490478515625000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.370850086212158203e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.539919853210449219e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.766222000122070312e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.944640159606933594e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.192361831665039062e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.370079040527343750e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.610371589660644531e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.787070751190185547e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.027511119842529297e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.195710659027099609e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.439131259918212891e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.618209838867187500e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.843970775604248047e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.011149883270263672e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.228811740875244141e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.388781070709228516e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.600410938262939453e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.757872104644775391e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.970791816711425781e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.132260799407958984e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.342059612274169922e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500491142272949219e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.713570594787597656e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.871501445770263672e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.081061840057373047e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.239471912384033203e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.450281620025634766e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.612601757049560547e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.823161125183105469e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.981831073760986328e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.190869331359863281e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.350850582122802734e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.562959671020507812e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.721212387084960938e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.932181835174560547e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.009028196334838867e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.031443119049072266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.047496080398559570e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.068407058715820312e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.084136009216308594e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.105448007583618164e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121858119964599609e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.142833948135375977e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.158655166625976562e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.179967164993286133e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.195800065994262695e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.217277050018310547e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.234544992446899414e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.256568193435668945e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.273066997528076172e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.295076847076416016e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.311526060104370117e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.333346128463745117e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.349571228027343750e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.370900154113769531e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.387415170669555664e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.409088134765625000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.426692247390747070e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.448716163635253906e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.465515136718750000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.487556934356689453e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.504273891448974609e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.526385068893432617e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.543256044387817383e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.566477060317993164e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.583268880844116211e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.605233907699584961e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.623436212539672852e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.646078109741210938e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.663312911987304688e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.685804128646850586e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.703539133071899414e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725882053375244141e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.743379116058349609e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.765871047973632812e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.783135175704956055e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.805465936660766602e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.822654008865356445e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.844621181488037109e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.861532926559448242e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.883460998535156250e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900259256362915039e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.922024011611938477e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.938948869705200195e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.960765123367309570e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.978252172470092773e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000440120697021484e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.018248081207275391e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.042467117309570312e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.060338020324707031e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.083492279052734375e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.101323127746582031e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.124211072921752930e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.142016172409057617e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.165040969848632812e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.182999134063720703e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.205432176589965820e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.222990274429321289e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.245516061782836914e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.264214038848876953e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.286324977874755859e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.302401065826416016e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.323006153106689453e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.338646173477172852e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.358852863311767578e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.374039173126220703e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.394240140914916992e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.409461021423339844e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.429672956466674805e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.444901943206787109e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.464950084686279297e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.480036258697509766e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500019073486328125e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.516423940658569336e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.537857055664062500e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.553551912307739258e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.574077129364013672e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.589787960052490234e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.611666917800903320e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.628859043121337891e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.651618242263793945e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.667752981185913086e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.688814163208007812e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.704493045806884766e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.725433111190795898e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.741100072860717773e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.763151884078979492e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.779012918472290039e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.799962043762207031e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.815524101257324219e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.836679935455322266e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.852651119232177734e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.873672962188720703e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.889963150024414062e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.911908149719238281e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.929178953170776367e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.953963041305541992e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.971438169479370117e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.995311975479125977e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.012881040573120117e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.036687135696411133e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.053333044052124023e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.074783086776733398e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.091144084930419922e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.112478017807006836e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.128659963607788086e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.149945974349975586e+00,0.000000000000000000e+00,0.000000000000000000e+00
