AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
165.53,58.11,1089.84,25.59,-2.92,-19.15,-6.9,8.85,44.55,34.21
123.05,133.3,1026.86,20.14,-8.16,-27.4,-6.6,10.05,43.65,34.21
39.55,172.85,991.21,9.61,-12.74,-39.85,-7.35,11.85,44.7,34.36
151.86,93.75,1008.79,-7.99,-30.26,-33.19,-7.2,12.45,42.0,34.21
207.03,55.66,991.7,-7.37,-16.98,-29.61,-6.6,14.1,41.85,34.31
151.37,109.37,963.87,-10.7,-21.69,-30.55,-6.3,14.4,42.6,34.36
273.93,-29.3,1164.06,-36.5,1.38,-12.11,-6.3,11.55,40.8,34.4
190.43,-42.48,852.54,-18.36,10.27,-5.77,-4.65,12.75,41.1,34.64
327.15,-162.11,1055.18,-19.44,17.48,22.71,-4.5,11.85,40.2,34.64
306.64,-148.93,929.2,6.11,26.6,43.02,-4.05,10.95,41.7,34.64
299.32,-17.09,1012.21,6.82,35.02,52.27,-5.7,11.4,40.05,34.55
298.34,37.11,1031.25,-7.06,45.4,52.16,-4.05,10.95,41.7,34.4
95.21,46.39,1068.85,-18.62,42.27,50.15,-4.2,9.75,45.0,34.4
-6.35,-15.63,1121.58,-21.97,38.84,37.85,-4.5,8.25,43.35,34.5
146.48,-70.8,1079.1,-13.3,37.08,26.83,-2.1,6.15,45.75,34.4
70.31,-33.69,1028.32,1.63,34.42,30.8,-1.65,4.35,43.65,34.55
-109.86,-19.04,953.61,-3.92,31.24,27.67,-1.65,4.65,45.0,34.4
-6.35,-37.6,1002.44,-19.91,31.63,29.76,-1.65,3.9,44.7,34.4
-3.91,-69.34,1008.79,-16.85,35.15,25.53,-0.6,3.6,47.1,34.21
-122.56,-133.3,989.26,-1.48,33.63,21.99,0.15,3.0,46.95,34.4
-124.02,-131.35,990.23,10.22,36.34,21.98,2.25,1.5,46.65,34.4
-103.52,-2.93,1023.44,9.37,25.42,19.23,3.3,0.45,48.3,34.5
-158.69,21.97,1001.46,-2.54,15.73,13.97,3.15,1.35,46.8,34.69
-129.88,13.18,1038.57,-7.65,16.15,3.6,2.25,0.9,48.3,34.4
-171.87,-57.13,992.68,-7.13,16.63,0.73,3.15,0.6,48.45,34.4
-171.87,3.42,959.47,-2.35,13.08,-0.79,3.0,0.9,47.55,34.4
-165.53,19.53,1003.42,-14.39,8.56,-5.89,6.6,1.05,48.15,34.31
-179.2,-35.64,1010.25,-19.56,0.49,-16.47,6.9,-0.9,49.05,34.64
-162.6,-87.89,1045.9,-13.05,1.37,-17.15,6.45,0.15,49.05,34.55
-158.69,-140.62,1083.98,-6.01,1.58,-17.38,6.6,-1.8,47.85,34.5
-165.04,-148.44,1076.17,0.31,5.46,-15.08,8.25,-3.0,47.25,34.4
-195.8,-117.19,1058.11,3.15,8.08,-10.17,7.65,-2.1,47.4,34.4
-165.53,-115.72,1041.99,-2.66,14.12,-13.33,7.65,-2.4,47.1,34.69
-209.96,-154.3,979.98,2.14,10.76,-11.24,7.65,-2.4,47.4,34.5
-193.36,-142.58,984.37,1.82,12.31,-14.44,9.0,-3.45,48.3,34.36
-191.89,-165.04,939.45,-7.47,3.18,-10.68,9.6,-3.0,46.95,34.55
-194.34,-168.46,1021.97,-14.18,2.94,-8.03,8.25,-4.8,48.0,34.31
-220.7,-167.97,1135.25,-20.13,6.21,-3.5,10.5,-3.9,46.35,34.55
