AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Temp_C
231.93,-59.08,972.66,2.1,12.67,16.62,-9.6,4.05,45.9,35.07
132.81,-7.32,948.73,5.06,13.55,14.21,-10.05,4.8,45.9,34.64
105.96,7.81,984.86,7.73,8.98,13.07,-8.55,4.05,47.25,34.74
87.4,37.11,1038.09,10.89,9.31,5.69,-9.0,3.0,47.55,34.64
100.59,12.21,1069.82,7.06,8.56,-2.27,-9.45,3.15,47.4,34.74
62.5,-25.88,1070.8,8.62,3.98,-5.54,-10.05,3.45,48.3,34.93
116.21,-72.27,1027.34,6.94,5.11,-0.47,-7.65,3.6,45.3,35.07
139.65,-73.24,1009.77,4.6,8.43,8.46,-8.55,5.25,47.55,34.69
95.21,-20.02,1004.39,-2.18,11.42,12.37,-7.65,4.35,47.85,34.74
85.94,-21.0,985.84,-12.53,6.9,13.34,-8.55,3.45,48.3,35.07
106.45,-33.2,996.09,-11.75,1.98,10.55,-9.6,3.45,47.25,34.64
117.19,-52.73,1033.69,-4.2,3.34,3.98,-7.95,2.7,45.9,34.64
121.58,-37.6,1023.44,-3.64,-2.46,2.96,-7.95,3.45,47.55,34.74
133.79,-58.59,1021.48,-6.15,-1.16,0.76,-7.65,2.1,46.8,34.93
141.11,-74.71,1020.02,-6.5,0.94,-3.47,-7.95,3.0,48.0,34.69
123.54,-120.12,1035.64,-4.9,-4.4,-1.14,-6.6,2.85,47.4,34.5
117.19,-111.33,1016.6,-6.36,-0.47,8.15,-9.15,3.6,45.3,34.88
82.03,-94.24,1033.2,-7.36,-2.58,6.62,-8.4,2.1,47.1,34.69
107.91,-94.73,1044.43,-4.92,0.92,7.05,-7.95,3.0,47.25,34.64
147.46,-91.31,1031.25,0.82,0.49,5.15,-7.35,2.1,48.45,34.64
129.88,-75.68,1023.93,5.98,5.47,1.72,-8.4,1.35,47.4,34.55
104.0,-91.31,1037.11,7.32,5.14,1.24,-8.25,1.95,46.95,34.69
119.14,-72.27,1025.39,5.45,3.7,5.55,-8.4,0.0,48.15,34.83
112.79,-69.82,1022.95,2.39,5.07,6.18,-8.25,0.45,48.6,34.93
98.63,-92.77,1029.79,-2.53,6.63,7.3,-7.65,2.4,49.5,35.03
91.8,-60.55,1016.11,-1.24,8.76,10.31,-7.65,1.05,47.85,34.83
93.26,-58.59,1025.39,-2.6,5.41,9.95,-10.05,2.25,48.0,35.07
87.4,-55.18,999.02,-0.12,3.11,3.53,-8.4,1.35,49.2,35.07
73.24,-58.59,1023.44,2.54,3.82,3.97,-7.2,0.45,48.6,34.64
87.4,-49.32,1006.84,4.83,5.05,3.35,-8.7,1.35,49.5,34.83
68.85,-67.87,1018.07,4.8,1.22,-1.6,-8.4,0.6,47.1,34.88
61.52,-76.17,1012.21,4.11,-2.3,0.76,-8.1,0.6,49.5,34.88
64.45,-81.05,1022.46,3.04,0.7,-1.29,-9.0,1.2,49.65,34.64
85.45,-76.17,1016.6,-2.6,-4.82,2.23,-9.3,1.95,49.05,34.69
80.57,-72.27,1020.02,-5.62,-6.15,2.38,-7.95,1.2,50.1,34.83
99.12,-61.04,1022.95,-3.57,-3.59,0.91,-7.65,1.35,48.9,34.64
83.98,-64.45,1024.9,-4.64,-6.47,1.66,-8.55,1.95,49.65,34.93
84.47,-75.2,1030.76,-2.15,-4.96,0.17,-7.05,0.6,48.9,34.74
94.73,-79.59,1024.41,-1.41,-2.22,-0.91,-9.6,1.2,49.05,35.07
100.1,-80.57,1026.37,2.27,-2.18,-2.7,-9.3,1.5,46.65,35.07
100.1,-85.94,1022.46,3.85,-4.47,-0.94,-7.95,2.7,48.3,34.93
101.56,-90.33,1022.95,1.17,-5.92,0.6,-7.35,0.0,47.4,34.88
110.35,-72.27,1022.46,-0.05,-1.76,-1.21,-9.15,1.8,48.9,34.64
113.28,-79.59,1028.81,0.26,-1.66,0.33,-8.25,0.9,47.25,34.83
104.0,-67.87,1025.39,-0.17,-3.82,4.8,-9.9,0.6,48.9,35.03
116.21,-67.38,1021.48,-1.19,-1.42,3.31,-9.0,1.5,48.0,34.93
124.51,-62.5,1029.3,2.1,-4.05,4.27,-9.3,1.2,48.3,34.64
115.72,-58.59,1048.83,1.27,-1.15,-0.51,-9.15,2.1,47.4,35.03
125.49,-60.55,1019.04,3.4,-1.27,-1.82,-9.15,0.0,47.4,34.83
104.49,-68.85,1022.95,2.59,1.9,-4.79,-8.25,3.0,49.05,35.03
120.61,-73.24,1009.77,-0.37,-2.21,-1.6,-9.0,1.5,48.3,35.17
101.56,-73.24,1006.35,2.31,-1.9,-0.02,-8.4,0.0,48.15,34.74
90.82,-68.85,1007.32,1.44,-2.98,-0.12,-9.3,0.45,48.3,34.74
119.14,-68.36,1024.41,0.73,-7.09,-1.59,-11.55,1.8,45.75,34.83
105.47,-58.59,1033.2,-0.35,-1.3,0.93,-9.3,1.95,48.6,34.93
102.05,-71.78,1033.69,-1.38,-3.53,1.62,-8.4,1.35,48.9,34.74
125.49,-80.57,1032.23,-0.32,-0.11,1.79,-9.0,2.7,48.6,34.64
115.23,-62.99,1024.41,0.37,-0.55,-0.95,-9.3,1.2,46.2,34.69
117.68,-69.34,1027.83,-1.83,0.11,2.15,-9.0,1.95,47.25,34.93
111.82,-60.06,1008.3,-1.25,-2.19,-0.69,-8.4,0.6,48.15,34.83
117.68,-59.08,1021.97,0.11,-0.51,-1.14,-8.25,0.9,46.65,34.83
107.42,-69.34,1005.37,2.86,-0.53,0.67,-8.55,1.5,49.05,34.74
117.19,-65.43,1006.84,2.4,-4.21,-1.85,-7.95,1.95,48.3,34.83
132.81,-80.57,1021.48,4.52,-0.73,-2.28,-9.9,1.35,48.15,34.74
114.26,-73.24,1035.16,3.5,-1.23,1.32,-8.55,3.45,48.0,34.74
124.51,-62.5,1015.62,0.6,-4.13,-1.24,-8.7,0.6,48.9,34.88
105.96,-60.55,1036.13,0.34,-4.63,1.54,-9.45,1.8,47.85,34.83
115.23,-59.08,1028.32,1.45,-0.08,2.65,-9.45,2.1,47.4,34.83
121.09,-56.15,1017.58,1.74,-1.85,-1.55,-9.45,2.85,48.45,34.83
113.77,-65.92,1022.46,1.55,-1.81,1.77,-10.65,0.45,49.65,34.83
137.21,-50.29,1024.41,1.43,-3.31,-0.82,-9.9,2.1,48.45,34.74
125.0,-54.2,1028.81,-0.6,-2.25,1.55,-8.55,2.25,48.0,34.69
131.35,-56.15,1025.39,-0.77,0.14,1.33,-9.0,2.7,48.0,34.64
119.14,-64.94,1040.04,0.37,1.81,-0.4,-9.3,1.95,47.55,34.64
122.56,-62.5,1022.46,1.03,-0.49,-0.1,-9.3,2.25,48.6,35.07
119.63,-64.45,1019.04,0.3,-0.89,0.95,-9.6,2.7,49.35,34.93
139.65,-49.32,1028.32,-0.64,-0.02,2.73,-8.7,1.8,47.85,34.83
102.05,-43.95,1030.76,-1.85,-2.05,0.33,-10.2,2.85,48.45,34.64
130.37,-62.99,1019.53,-0.91,-1.69,0.53,-10.2,1.35,48.45,34.64
131.84,-66.89,1021.48,-1.15,-3.72,-0.17,-9.6,3.0,46.95,34.83
125.49,-62.01,1014.65,-0.24,-0.63,0.85,-9.0,2.25,46.2,34.64
126.46,-53.71,1017.58,-0.9,-2.47,-0.6,-10.35,1.95,47.55,34.93
126.95,-66.41,1024.41,-0.12,-0.9,0.28,-9.45,2.85,46.8,35.07
110.84,-76.17,1006.35,-0.89,-0.63,0.09,-10.05,2.7,48.0,34.83
123.54,-54.69,1019.53,0.86,0.16,2.95,-10.35,1.95,47.55,34.64
119.14,-53.71,1001.95,2.85,-1.44,0.97,-10.2,1.8,48.9,34.83
153.32,-60.55,1010.74,0.81,-2.08,0.57,-10.65,2.25,47.25,34.93
159.18,-62.01,1003.42,-1.4,-4.15,0.29,-9.6,3.45,49.35,34.83
120.12,-43.46,1033.2,-0.84,-1.79,0.31,-9.9,1.35,48.45,35.03
132.32,-57.62,1031.74,0.52,-2.27,-5.91,-10.5,1.05,47.4,34.93
119.63,-70.8,1019.53,6.53,-3.49,-8.89,-10.2,1.8,47.85,34.83
143.07,-64.94,992.19,10.83,-6.64,-10.73,-10.95,2.4,46.8,34.64
144.04,-27.34,1005.86,6.06,-3.95,-7.44,-10.2,2.1,46.05,34.83
185.06,-77.15,1013.67,-3.6,-5.24,-1.62,-10.65,4.05,46.95,34.64
179.2,-67.87,1039.06,-3.16,-3.33,2.45,-10.35,4.5,46.65,34.74
153.32,-66.41,1030.27,-0.95,-0.11,0.14,-10.5,2.85,46.8,34.83
116.21,-41.02,1041.02,2.19,5.03,6.51,-11.4,4.05,48.0,34.74
122.56,-20.51,1008.79,3.6,2.08,1.88,-9.6,3.0,46.65,34.64
127.93,-49.32,991.7,3.79,2.17,1.56,-11.55,1.35,47.85,35.03
136.72,-41.5,1001.95,3.4,1.27,-0.4,-11.4,2.25,48.3,34.74
103.03,-32.71,1015.62,5.45,-4.64,2.39,-11.25,3.15,48.15,34.83
161.13,-18.07,1023.93,3.27,-3.9,1.68,-11.4,3.0,47.25,34.83
167.48,-32.23,1011.72,-2.46,-3.1,-0.25,-12.6,1.8,46.8,34.74
170.41,-47.85,1024.9,-6.93,-3.21,2.04,-11.1,2.7,48.0,34.93
151.37,-55.18,1026.86,-4.36,-3.16,-0.24,-11.85,3.0,47.55,34.83
171.39,-64.94,1036.62,-0.01,2.21,4.38,-10.5,2.1,48.45,34.74
162.6,-36.62,1033.2,-4.32,0.33,3.72,-12.0,2.85,47.4,34.93
157.23,-55.66,1023.44,-4.9,3.76,-1.08,-10.2,0.6,47.85,34.83
146.48,-71.78,1012.21,-0.57,2.4,-2.73,-11.1,2.25,49.35,34.93
144.53,-78.12,1007.32,7.16,-0.78,-0.02,-11.85,2.25,48.3,34.93
123.54,-74.22,1011.23,9.3,0.85,0.06,-12.0,1.8,47.85,34.74
141.6,-72.75,1003.91,7.29,0.44,2.72,-11.55,2.85,48.45,34.74
145.51,-69.34,999.51,3.39,2.08,5.88,-11.25,2.1,47.1,34.64
115.23,-28.81,1032.23,1.37,-0.89,8.11,-12.45,2.25,47.25,34.64
142.09,-14.16,1019.53,1.38,-1.82,9.73,-11.25,2.4,47.85,34.69
148.44,-21.0,1030.76,0.72,1.48,8.52,-11.85,2.7,49.05,35.07
167.48,3.42,1013.67,3.56,1.35,5.06,-11.55,0.6,48.45,34.74
167.97,17.58,1006.84,3.02,-0.95,1.44,-10.65,2.25,48.3,34.64
130.37,-4.88,1020.02,2.54,2.36,-1.9,-10.95,1.35,47.85,34.83
137.7,-5.86,1018.07,1.82,-1.0,-2.95,-13.5,1.2,46.95,34.74
163.57,-26.37,1002.44,-3.64,-0.53,-2.63,-12.0,3.15,48.9,34.5
158.2,-24.41,1015.62,-3.9,2.16,-4.71,-12.3,2.1,48.9,34.64
133.3,-38.09,1030.76,-3.33,-2.35,-1.82,-11.85,3.75,48.3,34.74
144.04,-36.62,1020.51,-2.88,0.69,-4.45,-12.45,3.45,48.0,34.64
134.77,-58.11,1026.37,-0.6,1.15,-2.16,-12.0,2.85,47.4,34.83
150.39,-71.78,1014.16,1.25,-2.3,0.3,-10.65,3.75,47.25,34.69
142.58,-54.2,1019.53,3.89,-0.82,-2.4,-12.0,1.8,47.85,34.93
155.27,-39.06,1030.27,5.62,-0.05,-2.5,-10.95,2.85,46.8,34.93
151.86,-27.34,1028.32,2.85,-1.07,-0.47,-11.85,2.7,47.25,34.83
135.25,-37.6,1031.74,-0.7,0.46,-0.14,-13.05,2.4,47.4,34.93
145.02,-27.34,1046.88,-0.24,3.03,0.03,-11.85,3.0,47.25,35.07
150.39,-27.83,1077.64,0.48,9.08,-1.73,-12.0,3.6,47.4,35.03
166.5,-55.66,1047.36,-1.85,14.37,-2.18,-10.05,4.5,48.0,34.93
176.76,-55.66,1042.97,0.97,16.26,-0.95,-10.95,2.85,46.8,34.93
124.02,-24.41,1069.82,-2.05,20.79,5.13,-10.65,3.0,48.3,34.93
160.16,-41.02,1075.2,-7.76,24.3,6.95,-10.5,2.4,49.5,34.5
145.51,-71.78,1104.0,-6.57,34.77,11.68,-9.6,1.5,47.55,34.74
80.08,-77.64,1091.8,1.37,42.21,13.56,-7.5,1.2,50.4,34.74
54.2,-41.99,1100.59,-3.4,48.68,9.76,-6.3,0.0,49.5,34.74
-8.79,-58.11,1080.57,-2.53,57.31,13.57,-4.35,2.7,49.35,35.07
-1.46,-81.05,1097.17,8.31,60.64,13.16,-5.1,0.45,50.4,35.07
-25.39,-24.41,1046.39,-7.56,76.87,48.92,-1.5,0.15,50.7,34.83
-83.5,-54.2,1062.01,0.68,74.12,17.66,-0.45,-1.5,51.45,34.88
-162.6,-29.79,1040.04,-3.54,77.13,20.2,0.45,-1.5,51.75,34.83
-153.81,-22.46,1022.46,0.11,82.08,20.19,3.6,-1.5,52.8,34.93
-274.9,-30.27,1028.32,3.68,90.54,20.47,6.9,-0.45,52.2,34.88
-263.67,-0.98,990.72,-5.95,91.54,19.6,9.6,-1.5,52.5,34.93
-362.79,-3.42,970.7,-6.23,95.36,22.89,11.55,-2.4,52.65,34.74
-401.37,-5.37,918.95,-0.89,92.61,15.4,14.4,-3.15,51.6,34.93
-452.64,-6.35,897.46,-2.14,88.97,14.56,17.55,-2.85,50.85,34.74
-493.16,-5.37,880.86,10.82,87.14,11.79,18.9,-2.25,50.1,34.83
-527.34,36.13,812.99,5.5,87.96,9.4,22.35,-1.5,50.7,34.83
-608.4,-27.83,833.01,8.08,83.37,10.63,25.05,-1.8,49.2,34.93
-695.31,50.78,711.43,6.87,76.09,9.83,28.2,-0.6,47.1,35.03
-701.66,8.3,741.21,3.38,75.77,2.66,30.15,-3.75,46.95,34.69
-677.73,4.88,725.1,5.5,74.5,3.09,31.2,-1.5,45.15,34.55
-745.12,24.41,627.44,24.26,79.87,-8.57,34.5,-3.0,43.5,35.07
-736.82,-17.58,676.76,18.82,80.43,-4.73,36.0,0.0,41.55,34.74
-753.91,72.27,572.75,3.5,65.24,1.28,39.15,1.05,40.5,34.93
-778.32,-11.72,503.91,8.82,61.07,-3.85,40.05,-0.9,40.05,34.93
-816.89,66.89,412.6,1.21,52.72,0.75,41.55,-0.45,37.95,34.93
-872.07,0.98,510.25,13.27,51.09,-5.34,43.5,-0.3,38.85,35.03
-929.2,13.67,470.7,8.8,48.15,8.01,43.8,-0.3,35.7,34.83
-920.41,26.86,376.46,12.56,47.05,1.43,45.0,-0.9,35.85,34.88
-925.78,74.71,384.77,-4.82,34.5,-2.02,46.5,0.15,34.8,34.88
-919.92,35.64,399.41,-13.31,28.73,1.47,45.6,-0.3,33.6,34.93
-909.18,21.48,344.73,-15.48,21.78,3.12,46.95,-1.8,32.25,34.74
-908.2,5.37,327.64,2.76,26.65,2.76,48.45,0.0,32.25,34.64
-935.06,87.4,324.71,-2.55,13.49,2.7,48.0,-0.3,31.8,34.64
-916.5,39.55,331.05,5.04,7.05,3.34,49.95,1.2,31.65,34.74
-935.55,53.71,250.49,4.07,-0.7,7.6,48.75,-0.3,31.5,34.83
-939.94,54.2,291.02,12.57,-6.54,0.67,48.9,-0.9,31.95,34.88
-927.25,33.69,333.01,6.18,-14.85,-1.05,47.85,0.15,30.6,34.93
-934.57,44.92,243.65,11.27,-22.77,0.0,48.0,0.6,31.5,34.93
-891.11,111.33,328.12,0.35,-35.61,-5.38,47.7,-0.3,33.6,34.83
-923.34,93.26,361.33,-5.65,-44.37,-4.58,46.35,-0.3,33.6,34.74
-837.4,-15.63,471.19,12.95,-49.66,-3.5,46.05,0.15,34.05,34.88
-901.86,53.22,351.56,-10.14,-59.56,7.4,44.4,0.9,35.1,34.93
-883.3,88.38,506.35,-25.65,-67.34,-0.29,43.35,0.9,37.2,34.74
-930.66,18.55,475.1,-20.18,-71.02,-2.64,42.0,0.0,38.4,34.83
-807.13,8.79,558.11,-8.56,-76.33,-6.52,39.6,-0.6,40.8,34.64
-731.93,31.74,596.19,-3.95,-75.97,-9.95,38.1,-1.35,42.3,34.74
-715.33,57.13,667.48,4.51,-83.79,-10.58,36.0,-1.05,42.6,34.93
-718.26,22.46,745.12,7.07,-75.08,-19.48,33.6,-0.6,44.7,35.07
-652.34,-15.63,841.8,19.27,-68.05,-19.37,30.75,-1.8,45.3,34.83
-634.28,22.46,767.58,1.93,-75.85,-10.69,30.75,0.3,47.85,34.64
-561.52,-16.11,897.46,-3.9,-67.38,-12.6,27.9,-0.6,46.35,34.5
